               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.031583,           0.0066261,                   0,             0.94837,             0.64456,             0.78434,             0.34983,            0.045132,           0.0079443,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.031466,           0.0068151,                   0,             0.85864,             0.61404,             0.72669,             0.25988,            0.049639,           0.0077993,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.032613,           0.0065828,                   0,             0.87939,             0.63958,             0.72705,             0.30015,            0.047365,            0.008093,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.033063,           0.0067199,                   0,             0.90114,             0.68421,             0.77397,             0.31795,            0.046299,           0.0081789,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.030764,           0.0062856,                   0,             0.93532,             0.72807,              0.8106,             0.33596,            0.044912,           0.0077854,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.031084,           0.0068351,                   0,             0.85595,             0.72973,             0.77669,             0.34601,            0.043924,           0.0077419,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.030281,           0.0068033,                   0,             0.97557,             0.70055,             0.79758,             0.29255,            0.047204,           0.0076258,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.031588,           0.0064374,                   0,             0.94647,             0.67544,             0.78664,             0.30478,            0.044357,           0.0077215,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.030734,           0.0068935,                   0,             0.91561,             0.65789,             0.79056,             0.30679,            0.047422,           0.0078359,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.029252,           0.0067797,                   0,             0.84074,             0.70175,             0.78946,              0.3173,            0.046236,             0.00804,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.030693,           0.0067409,                   0,             0.83811,             0.73684,             0.78636,             0.32805,             0.04562,           0.0080756,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.030966,           0.0067176,                   0,             0.87511,             0.68421,             0.78138,             0.32856,            0.044609,           0.0078576,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.030428,           0.0063577,                   0,             0.83884,             0.73055,              0.7932,             0.31757,             0.04509,           0.0077401,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.030179,           0.0062277,                   0,              0.9105,             0.71393,             0.78556,               0.328,            0.044063,           0.0079578,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.028577,           0.0062075,                   0,             0.89436,             0.74268,             0.79603,             0.35777,            0.042197,           0.0076965,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.028308,           0.0060134,                   0,             0.86841,             0.69298,             0.74413,             0.30119,            0.043586,            0.007562,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.027243,           0.0061185,                   0,             0.90547,             0.75624,             0.80177,               0.326,             0.04252,           0.0076023,                   0,            0.006436,            0.006436,            0.006436
